ingredients@modified_date@available_date
UNBLEACHED ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), CANE SUGAR, EXPELLER PRESSED CANOLA OIL, MOLASSES, GINGER, LEAVENING (SODIUM BICARBONATE), SALT, SOY LECITHIN (EMULSIFIER), LEAVENING (AMMONIUM BICARBONATE).@2017-07-14@2019-04-01
BLANCHED PEANUTS, BBQ SEASONING (CANE SUGAR*, SALT, MALTODEXTRIN**, BROWN SUGAR*, ONION POWDER, TOMATO POWDER, GARLIC POWDER, YEAST EXTRACT, SPICES [BLACK PEPPER, CINNAMON, CAYENNE PEPPER, ALLSPICE], RICE HULLS, NATURAL SMOKE FLAVOR, EXTRACTIVE OF PAPRIKA, CITRIC ACID), EXPELLER PRESSED CANOLA OIL, SEA SALT.@2018-06-07@2021-03-19
EGGS.@2021-01-23@2021-02-26
ORGANIC TOMATO PUREE (WATER, ORGANIC TOMATO PASTE), ORGANIC JALAPENO PUREE (ORGANIC RED JALAPENO PEPPERS, SALT, ORGANIC DISTILLED WHITE VINEGAR, CALCIUM CHLORIDE), ORGANIC DISTILLED WHITE VINEGAR, XANTHAN GUM.@2020-10-26@2021-03-19
ORGANIC DURUM WHEAT SEMOLINA.@2020-04-08@2020-11-13
ORGANIC WHOLE WHEAT FLOUR, WATER, ORGANIC WHEAT FLOUR, ORGANIC RAISIN JUICE CONCENTRATE, ORGANIC EXPELLER PRESSED SUNFLOWER SEED OIL, YEAST, ORGANIC DISTILLED WHITE VINEGAR, ORGANIC TAPIOCA STARCH, SEA SALT, LACTIC ACID, ORGANIC SOY LECITHIN (EMULSIFIER).@2021-08-25@2021-10-28
REDUCED FAT MILK, VITAMIN A PALMITATE, VITAMIN D3.@2021-08-25@2022-05-23
ORGANIC WHEAT FLOUR, FILTERED WATER, ORGANIC WHOLE WHEAT FLOUR, ORGANIC SEVEN GRAIN MIX (ORGANIC CRACKED RYE, ORGANIC CRACKED CORN, ORGANIC CRACKED WHEAT, ORGANIC CRACKED BARLEY, ORGANIC STEEL CUT OATS, ORGANIC FLAX SEED AND ORGANIC HULLED MILLET), ORGANIC CANOLA OIL, ORGANIC CULTURED WHEAT FLOUR, ORGANIC CANE SUGAR, ORGANIC WHEAT GLUTEN, SEA SALT, YEAST, ASCORBIC ACID.@2018-10-24@2021-10-28
REDUCED FAT MILK, VITAMIN A PALMITATE, VITAMIN D3.@2017-07-14@2019-04-01
ORGANIC HONEY*.@2020-11-19@2021-02-26
